日期,最大值,最小值,平均值,结果
19:50:34:145,181.906226084944,176.782938326712,179.188439190929,NG
19:50:34:775,180.947292299577,175.852452944631,178.17627529084,NG
19:50:35:519,180.191574822569,176.730914910002,178.472325737604,NG
19:54:30:500,179.836615590331,177.357661192768,178.449171964117,NG
19:54:30:911,180.191574822569,176.730914910002,178.472325737604,NG
19:54:35:192,180.343415021522,174.889228210521,177.799648011022,NG
19:54:35:840,179.836615590331,177.357661192769,178.449171964117,NG
